Operateur;X;Y;2G;3G;4G;postcode
20815;146265.0;6791515.0;0;1;1;29710
20801;146280.0;6837789.0;1;1;1;29200
20810;146282.0;6791513.0;1;1;0;29710
20810;146286.0;6837774.0;1;1;1;29200
20810;146296.0;6836331.0;1;1;1;29200
20801;146427.0;6836272.0;1;1;1;29200
20820;146429.0;6836950.0;1;1;1;29200
20801;146440.0;6836946.0;1;1;1;29200
20820;146455.0;6836068.0;0;0;1;29200
20820;146548.0;6836378.0;1;1;1;29200
20810;146549.0;6837030.0;1;1;1;29200
20810;146581.0;6839159.0;1;1;1;29200
20810;146631.0;6835858.0;1;1;0;29200
20801;146703.0;6791134.0;1;1;0;29710
20820;146720.0;6836358.0;1;0;0;29200
20801;146756.0;6852775.0;1;1;0;29860
20815;146758.0;6840049.0;0;1;0;29200
20801;146759.0;6840053.0;1;1;1;29200
20801;146763.0;6848446.0;1;1;0;29860
20810;146820.0;6836403.0;1;1;1;29200
20801;146822.0;6836040.0;1;1;1;29200
20820;146860.0;6836010.0;1;1;1;29200
20801;146884.0;6836539.0;1;1;1;29200
20815;146887.0;6837043.0;0;1;1;29200
20810;146905.0;6837061.0;1;1;1;29200
20820;146921.0;6836607.0;1;0;0;29200
20801;146980.0;6837209.0;1;1;1;29200
20815;147007.0;6856437.0;0;1;1;29870
20820;147023.0;6856406.0;1;1;0;29870
20801;147052.0;6836897.0;0;1;1;29200
20810;147054.0;6836884.0;1;1;1;29200
20820;147075.0;6839197.0;1;1;1;29200
20820;147079.0;6836558.0;1;0;1;29200
20820;147084.0;6836503.0;1;1;1;29200
20801;147126.0;6836537.0;0;0;0;29200
20820;147161.0;6837407.0;1;1;1;29200
20801;147306.0;6839053.0;1;1;1;29200
20801;147478.0;6836749.0;1;1;1;29200
20801;147489.0;6838248.0;1;1;1;29200
20810;147649.0;6835625.0;1;1;1;29200
20810;147651.0;6836172.0;1;1;1;29200
20801;147660.0;6836184.0;1;1;1;29200
20820;147665.0;6835631.0;1;1;1;29200
